Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Eckart von Klaeden,31.08.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,31.07.2019,Finanzministerium,St Werner Gatzer (LufV)
Eckart von Klaeden,31.07.2017,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Maria Böhmer,31.03.2020,Auswärtiges Amt,StM‘in Michelle Müntefering (Corona)
Brigitte Zypries,31.03.2020,Arbeitsministerium,BM Hubertus Heil (allgemeiner Austausch)
Dirk Niebel,31.03.2014,Entwicklungshilfeministerium,BM Gerd Müller (Gespräch nach Amtsübergabe)
Ronald Pofalla,31.01.2019,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Kommission „Wachstum, Strukturwandel und Beschäftigung“)"
Ronald Pofalla,31.01.2019,Umweltministerium,BM’in Svenja Schulze (Arbeit der Strukturwandelkommission)
Eckart von Klaeden,30.11.2020,Verteidigungsministerium,St Benedikt Zimmer (Telefonat zum Thema „Nachfolge geländegängige Personenkraftwagen der NLD Streitkräfte
Katherina Reiche,30.10.2019,Bundeskanzleramt,BM Helge Braun (Nachhaltigkeit)
Maria Böhmer,30.10.2018,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Jubiläum 40 Jahre Amt der Integrationsbeauftragten)
Ronald Pofalla,30.07.2020,Verkehrsministerium,St Michael Güntner (Rahmenfinanzierungsvereinbarung & Knoten Stuttgart)
Ole Schröder,30.06.2020,Wirtschaftsministerium,PSt Thomas Bareiß (Mittelstandspolitik)
Ronald Pofalla,30.06.2015,Wirtschaftsministerium,BM Sigmar Gabriel (Wirtschafts- und energiepolitisches Spitzengespräch mit Branchenvertretern des Schienenverkehrs)
Katherina Reiche,30.04.2021,Verkehrsministerium,BM Andreas Scheuer (Nationaler Wasserstoffrat)
Hildegard Müller,30.04.2021,Wirtschaftsministerium,BM Peter Altmaier (Spitzenglättung)
Eckart von Klaeden,30.04.2020,Verkehrsministerium,St’in Tamara Zieschang (Gas-LKW’s)
Steffen Kampeter,30.03.2021,Wirtschaftsministerium,St’in Claudia Dörr-Voß (Corona)
Eckart von Klaeden,30.03.2020,Wirtschaftsministerium,"BM Peter Altmaier (Corona, moderne Antriebe, Digitalisierung, Handels- und Industriepolitik)"
Katherina Reiche,30.03.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Corona-Krise)
Ronald Pofalla,30.01.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz, BM Andreas Scheuer (Strukturelle Weiterentwicklung der DB AG)"
Eckart von Klaeden,30.01.2018,Wirtschaftsministerium,St Matthias Machnig
Ronald Pofalla,29.11.2019,Verkehrsministerium,"BM Andreas Scheuer, Sts Michael Güntner (Unterzeichnung Finanzierungsabkommen S4 HH)"
Ronald Pofalla,29.11.2018,Bundeskanzleramt,StM’n Dorothee Bär
Steffen Kampeter,29.11.2018,Bildungsministerium,BM’in Anja Karliczek (BBiG-Novelle)
Steffen Kampeter,29.11.2018,Wirtschaftsministerium,"BM Peter Altmaier (Gründungsoffensive – Pressekonferenz mit DIHK, ZDH, BDA und BDI)"
Eckart von Klaeden,29.10.2018,Wirtschaftsministerium,BM Peter Altmaier (Deutsch-Ägyptische-Kommission zur Entwicklungszusammenarbeit)
